window_idx,train_start,train_end,window,max_resists,breakout_window,max_hold_bars,take_profit_atr,stop_loss_atr,atr_period,sma_period,sharpe_ratio,max_drawdown,total_return,total_trade,win_rate,avg_win,avg_loss,P/L_ratio,final_value
1,2023-01-02,2024-01-02,16.0,5.0,2.0,36.0,7.0,10.0,14.0,30.0,-0.19594723960205968,16.80097311844297,-0.03844015709828102,18.0,55.55555555555556,8.154492145085936,-12.595624999999984,0.647406710273285,480.7799214508595
2,2023-04-02,2024-04-02,16.0,5.0,2.0,36.0,7.0,10.0,14.0,30.0,-0.1929017496084899,11.83312041942604,-0.03239015709827982,19.0,57.89473684210527,6.007720131896307,-10.284999999999913,0.5841244659111675,483.8049214508601
3,2023-07-02,2024-07-02,16.0,5.0,2.0,36.0,7.0,10.0,14.0,30.0,0.9488907065149871,14.8150318649656,0.15450145519891179,24.0,66.66666666666666,10.435357974965951,-11.214374999999906,0.930534066763956,577.2507275994559
4,2023-10-02,2024-10-02,16.0,5.0,2.0,36.0,7.0,10.0,14.0,30.0,1.0283881432562727,14.90916798664521,0.1786114551989124,24.0,62.5,12.585048506630338,-11.052222222222092,1.1386894195202009,589.3057275994562
5,2024-01-02,2025-01-02,16.0,5.0,2.0,36.0,7.0,10.0,14.0,30.0,1.1112815224912924,15.39998611468882,0.18286161229719392,19.0,68.42105263157895,12.659292780661238,-12.18999999999982,1.0384981772486812,591.430806148597
