time,open,high,low,close,Volume
2023-01-02T23:00:00Z,1823.79,1831.08,1823.79,1828.175,1717
2023-01-02T23:30:00Z,1828.175,1829.49,1827.16,1829.455,989
2023-01-03T00:00:00Z,1829.455,1832.27,1828.835,1831.43,1402
2023-01-03T00:30:00Z,1831.43,1832.105,1830.26,1830.745,1018
2023-01-03T01:00:00Z,1830.745,1832.545,1826.84,1828.22,3871
2023-01-03T01:30:00Z,1828.22,1830.62,1826.935,1828.57,2654
2023-01-03T02:00:00Z,1828.57,1831.085,1828.36,1830.61,1931
2023-01-03T02:30:00Z,1830.61,1840.03,1830.55,1838.43,2251
2023-01-03T03:00:00Z,1838.43,1843.22,1838.42,1841.67,2422
2023-01-03T03:30:00Z,1841.67,1842.185,1840.515,1841.24,1266
2023-01-03T04:00:00Z,1841.24,1842.14,1840.6,1841.22,1228
2023-01-03T04:30:00Z,1841.22,1842.18,1840.375,1840.43,1164
2023-01-03T05:00:00Z,1840.43,1841.2,1838.025,1838.19,1227
2023-01-03T05:30:00Z,1838.19,1841.04,1838.18,1840.51,1931
2023-01-03T06:00:00Z,1840.51,1844.285,1840.455,1841.98,2143
2023-01-03T06:30:00Z,1841.98,1842.395,1840.065,1842.05,1744
2023-01-03T07:00:00Z,1842.05,1847.72,1841.12,1847.285,2652
2023-01-03T07:30:00Z,1847.285,1849.99,1844.8,1847.62,3444
2023-01-03T08:00:00Z,1847.62,1848.075,1838.84,1840.67,5561
2023-01-03T08:30:00Z,1840.67,1840.745,1834.63,1836.135,4594
2023-01-03T09:00:00Z,1836.135,1841.51,1834.915,1841.455,3538
2023-01-03T09:30:00Z,1841.455,1842.035,1837.725,1838.905,2123
2023-01-03T10:00:00Z,1838.905,1839.45,1837.65,1838.06,2390
2023-01-03T10:30:00Z,1838.06,1838.33,1833.765,1834.505,2065
2023-01-03T11:00:00Z,1834.505,1834.89,1831.675,1833.265,1588
2023-01-03T11:30:00Z,1833.265,1833.58,1830.905,1833.215,2080
2023-01-03T12:00:00Z,1833.215,1835.615,1831.79,1835.465,1395
2023-01-03T12:30:00Z,1835.465,1836.44,1833.745,1834.625,1037
2023-01-03T13:00:00Z,1834.625,1840.555,1834.17,1838.965,3285
2023-01-03T13:30:00Z,1838.965,1841.12,1837.07,1838.96,2658
2023-01-03T14:00:00Z,1838.96,1841.405,1836.73,1841.255,2361
2023-01-03T14:30:00Z,1841.255,1849.89,1839.495,1845.025,5968
2023-01-03T15:00:00Z,1845.025,1845.565,1832.675,1833.715,4602
2023-01-03T15:30:00Z,1833.715,1834.095,1827.645,1833.285,5186
2023-01-03T16:00:00Z,1833.285,1834.265,1828.35,1830.02,3307
2023-01-03T16:30:00Z,1830.02,1834.38,1828.57,1834.335,2097
2023-01-03T17:00:00Z,1834.335,1837.865,1834.105,1837.425,1710
2023-01-03T17:30:00Z,1837.425,1839.355,1836.875,1839.355,1678
2023-01-03T18:00:00Z,1839.355,1840.28,1837.49,1840.19,1614
2023-01-03T18:30:00Z,1840.19,1840.28,1838.055,1838.92,944
2023-01-03T19:00:00Z,1838.92,1839.305,1836.57,1837.145,656
2023-01-03T19:30:00Z,1837.145,1839.26,1836.6,1839.13,871
2023-01-03T20:00:00Z,1839.13,1839.625,1837.54,1838.44,563
2023-01-03T20:30:00Z,1838.44,1838.82,1836.74,1838.235,675
2023-01-03T21:00:00Z,1838.235,1839.39,1837.87,1839.39,460
2023-01-03T21:30:00Z,1839.39,1840.01,1838.975,1839.7,710
2023-01-03T23:00:00Z,1839.7,1839.7,1837.4,1838.13,837
2023-01-03T23:30:00Z,1838.13,1838.13,1836.53,1836.545,722
2023-01-04T00:00:00Z,1836.545,1839.04,1836.24,1837.815,1426
2023-01-04T00:30:00Z,1837.815,1839.295,1837.6,1838.755,635
2023-01-04T01:00:00Z,1838.755,1840.52,1838.335,1839.97,1572
2023-01-04T01:30:00Z,1839.97,1844.585,1839.3,1844.385,1211
2023-01-04T02:00:00Z,1844.385,1845.815,1843.49,1844.49,1345
2023-01-04T02:30:00Z,1844.49,1846.13,1844.09,1845.83,561
