time,open,high,low,close,Volume
2024-07-26T00:00:00Z,2363.855,2365.45,2363.44,2363.715,2987
2024-07-26T00:30:00Z,2363.595,2365.345,2362.295,2362.81,3354
2024-07-26T01:00:00Z,2362.755,2365.76,2355.875,2365.275,8031
2024-07-26T01:30:00Z,2365.28,2374.02,2365.19,2373.64,8032
2024-07-26T02:00:00Z,2373.66,2374.205,2370.61,2373.235,5395
2024-07-26T02:30:00Z,2373.16,2379.48,2372.735,2374.325,6692
2024-07-26T03:00:00Z,2374.32,2378.405,2372.415,2376.605,5790
2024-07-26T03:30:00Z,2376.62,2376.65,2371.595,2371.805,3468
2024-07-26T04:00:00Z,2371.82,2372.89,2370.15,2372.66,3118
2024-07-26T04:30:00Z,2372.48,2372.685,2369.83,2369.845,2911
2024-07-26T05:00:00Z,2369.835,2372.265,2368.27,2372.25,3213
2024-07-26T05:30:00Z,2372.34,2375.375,2371.845,2374.36,6260
2024-07-26T06:00:00Z,2374.39,2374.505,2365.32,2367.87,6319
2024-07-26T06:30:00Z,2367.875,2370.565,2367.03,2369.71,5850
2024-07-26T07:00:00Z,2369.69,2371.925,2369.075,2371.095,4366
2024-07-26T07:30:00Z,2371.04,2372.05,2367.675,2371.59,4889
2024-07-26T08:00:00Z,2371.695,2373.93,2369.44,2371.985,4623
2024-07-26T08:30:00Z,2371.92,2374.24,2370.205,2373.035,4622
2024-07-26T09:00:00Z,2373.025,2374.57,2371.77,2373.41,4038
2024-07-26T09:30:00Z,2373.485,2374.545,2371.765,2373.82,3770
2024-07-26T10:00:00Z,2373.835,2374.24,2372.72,2373.495,2540
2024-07-26T10:30:00Z,2373.545,2375.355,2372.74,2372.805,3198
2024-07-26T11:00:00Z,2372.79,2373.98,2370.365,2373.315,3822
2024-07-26T11:30:00Z,2373.35,2375.83,2372.665,2373.325,3496
2024-07-26T12:00:00Z,2373.315,2376.64,2371.11,2373.33,6010
2024-07-26T12:30:00Z,2373.295,2379.08,2371.31,2377.58,11297
2024-07-26T13:00:00Z,2377.62,2380.005,2374.055,2379.035,9717
2024-07-26T13:30:00Z,2378.925,2383.285,2376.54,2381.51,11126
2024-07-26T14:00:00Z,2381.91,2390.84,2380.45,2384.995,11840
2024-07-26T14:30:00Z,2384.9,2387.61,2381.095,2381.955,10164
2024-07-26T15:00:00Z,2381.96,2386.615,2380.03,2384.71,7805
2024-07-26T15:30:00Z,2384.54,2386.995,2383.83,2385.255,3635
2024-07-26T16:00:00Z,2385.305,2389.155,2384.655,2387.86,3996
2024-07-26T16:30:00Z,2387.885,2390.42,2386.79,2389.245,3361
2024-07-26T17:00:00Z,2389.27,2389.27,2381.845,2382.175,3939
2024-07-26T17:30:00Z,2382.26,2384.745,2381.235,2383.505,4581
2024-07-26T18:00:00Z,2383.41,2386.255,2383.1,2385.49,3048
2024-07-26T18:30:00Z,2385.44,2385.49,2382.8,2384.465,2805
2024-07-26T19:00:00Z,2384.53,2386.44,2382.775,2385.725,3583
2024-07-26T19:30:00Z,2385.805,2387.19,2384.185,2386.4,3023
2024-07-26T20:00:00Z,2386.39,2388.335,2385.47,2386.51,1610
2024-07-26T20:30:00Z,2386.515,2388.85,2386.115,2387.02,1405
2024-07-28T22:00:00Z,2388.395,2403.265,2387.965,2397.26,3145
2024-07-28T22:30:00Z,2397.18,2398.41,2395.165,2395.87,1964
2024-07-28T23:00:00Z,2395.9,2397.39,2394.74,2395.725,1689
2024-07-28T23:30:00Z,2395.74,2399.06,2395.05,2397.205,1886
2024-07-29T00:00:00Z,2397.16,2399.25,2397.16,2398.845,3173
2024-07-29T00:30:00Z,2398.77,2401.74,2397.89,2400.155,4598
2024-07-29T01:00:00Z,2400.2,2402.61,2395.41,2395.765,8582
2024-07-29T01:30:00Z,2395.81,2396.19,2388.76,2392.905,7249
2024-07-29T02:00:00Z,2392.845,2394.34,2391.07,2393.53,5022
2024-07-29T02:30:00Z,2393.515,2394.775,2391.39,2393.275,4435
2024-07-29T03:00:00Z,2393.195,2395.295,2392.265,2393.4,3901
2024-07-29T03:30:00Z,2393.38,2394.91,2391.99,2394.655,2575
2024-07-29T04:00:00Z,2394.66,2396.14,2393.955,2394.515,2998
2024-07-29T04:30:00Z,2394.525,2395.915,2393.39,2394.965,2734
2024-07-29T05:00:00Z,2394.97,2396.415,2393.75,2394.11,2758
2024-07-29T05:30:00Z,2394.115,2394.375,2390.3,2392.78,5543
2024-07-29T06:00:00Z,2392.77,2395.535,2391.885,2392.405,5496
2024-07-29T06:30:00Z,2392.395,2395.485,2390.8,2391.815,5686
2024-07-29T07:00:00Z,2391.79,2392.59,2389.47,2392.225,5705
2024-07-29T07:30:00Z,2392.275,2394.45,2389.955,2391.64,6089
2024-07-29T08:00:00Z,2391.635,2392.795,2387.155,2387.85,5489
2024-07-29T08:30:00Z,2388.03,2391.18,2387,2390.43,4396
2024-07-29T09:00:00Z,2390.435,2393.27,2390.425,2392.915,3972
2024-07-29T09:30:00Z,2392.91,2393.535,2389.92,2392.825,4025
2024-07-29T10:00:00Z,2392.81,2395.465,2392.08,2394.975,3387
