datetime,open,high,low,close
2020-01-24 02:00:00,1561.96997,1562.5,1561.32996,1561.59998
2020-01-24 02:30:00,1561.58557,1561.85999,1561.23999,1561.75
2020-01-24 03:00:00,1561.80005,1561.91003,1561.12,1561.18616
2020-01-24 03:30:00,1561.18994,1562.32996,1561.17676,1561.77771
2020-01-24 04:00:00,1561.82996,1562.34998,1561.25793,1561.25793
2020-01-24 04:30:00,1561.26001,1561.27698,1559.43005,1559.76343
2020-01-24 05:00:00,1559.76001,1561.03003,1559.70972,1560.81958
2020-01-24 05:30:00,1560.84998,1561.23999,1560.48999,1560.59998
2020-01-24 06:00:00,1560.67004,1561.43042,1560.255,1561.38
2020-01-24 06:30:00,1561.34998,1561.48999,1560.53003,1560.83496
2020-01-24 07:00:00,1560.81995,1561.5,1560.40002,1560.68835
2020-01-24 07:30:00,1560.60999,1560.69885,1559.44849,1559.63501
2020-01-24 08:00:00,1559.69995,1560.06995,1558.75,1559.92078
2020-01-24 08:30:00,1558.87,1559.94995,1557.65002,1558.53003
2020-01-24 09:00:00,1558.64001,1559.57996,1558.33997,1559.47998
2020-01-24 09:30:00,1559.06006,1561.48999,1558.80005,1561.297
2020-01-24 10:00:00,1561.37,1563.02002,1561.23999,1561.57544
2020-01-24 10:30:00,1561.56995,1561.80005,1560.69495,1560.69495
2020-01-24 11:00:00,1560.75,1560.76001,1558.69995,1559.01587
2020-01-24 11:30:00,1559.01001,1559.56995,1558.68994,1559.26001
2020-01-24 12:00:00,1559.16003,1560.37,1558.63,1559.08997
2020-01-24 12:30:00,1559.13,1559.23999,1557.56006,1558.17004
2020-01-24 13:00:00,1558.27002,1559.05005,1556.67004,1558.51416
2020-01-24 13:30:00,1558.52002,1562.39001,1558.52002,1561.46765
2020-01-24 14:00:00,1561.54004,1562.55005,1559.81995,1560.19922
2020-01-24 14:30:00,1560.54004,1566.35999,1560.19995,1564.31006
2020-01-24 15:00:00,1564.52002,1575.12,1564.16003,1574.44495
2020-01-24 15:30:00,1575.09998,1575.26001,1570.20996,1570.34998
2020-01-24 16:00:00,1570.03003,1573.17004,1568.95996,1572.69751
2020-01-24 16:30:00,1572.33997,1573.82996,1571.55005,1572.57996
2020-01-24 17:00:00,1572.73999,1575.81995,1572.62219,1573.755
2020-01-24 17:30:00,1573.62,1573.93005,1570.63,1571.75269
2020-01-24 18:00:00,1571.76001,1574.03003,1571.62463,1572.51477
2020-01-24 18:30:00,1572.51001,1574.62,1572.26001,1572.81775
2020-01-24 19:00:00,1572.98999,1575.82996,1572.30005,1574.30847
2020-01-24 19:30:00,1574.31006,1574.31995,1570.92004,1571.13
